@relation adult.data

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute class {' <=50K',' >50K'}

@data
42,' Local-gov',174575,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',5178,0,40,' United-States',' >50K'
29,' Private',122000,' Some-college',10,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
31,' Private',98639,' Bachelors',13,' Never-married',' Tech-support',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
50,' State-gov',116211,' Prof-school',15,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,52,' United-States',' >50K'
59,' Private',194290,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,48,' United-States',' <=50K'
50,' Private',285200,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,1887,35,' United-States',' >50K'
50,' Self-emp-inc',293196,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',7298,0,40,' United-States',' >50K'
21,' Private',223352,' HS-grad',9,' Never-married',' Other-service',' Not-in-family',' White',' Female',1055,0,30,' United-States',' <=50K'
21,' ?',138575,' HS-grad',9,' Never-married',' ?',' Other-relative',' White',' Male',0,0,60,' United-States',' <=50K'
21,' Private',163595,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,35,' United-States',' <=50K'
44,' Private',98779,' 10th',6,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',4386,0,60,' United-States',' <=50K'
40,' Private',26892,' Bachelors',13,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
43,' Self-emp-not-inc',193494,' Prof-school',15,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,60,' United-States',' >50K'
18,' ?',216508,' 12th',8,' Never-married',' ?',' Not-in-family',' White',' Male',0,0,25,' United-States',' <=50K'
21,' Private',152389,' Some-college',10,' Never-married',' Other-service',' Not-in-family',' Black',' Female',0,0,30,' United-States',' <=50K'
21,' ?',355686,' HS-grad',9,' Never-married',' ?',' Own-child',' White',' Female',0,0,10,' United-States',' <=50K'
46,' Private',34377,' Assoc-acdm',12,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
24,' Private',200973,' Some-college',10,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
21,' Private',185251,' HS-grad',9,' Never-married',' Sales',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
46,' State-gov',238648,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',7298,0,40,' United-States',' >50K'
31,' Self-emp-inc',114937,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,55,' United-States',' >50K'
19,' Private',187352,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
22,' Local-gov',211129,' Assoc-voc',11,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,10,' ?',' <=50K'
51,' Private',293196,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',15024,0,60,' Iran',' >50K'
20,' ?',124954,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
24,' Private',137591,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Male',0,1762,40,' United-States',' <=50K'
30,' Private',162442,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',7688,0,50,' United-States',' >50K'
44,' Private',326232,' 7th-8th',4,' Divorced',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,48,' United-States',' <=50K'
39,' Private',56648,' HS-grad',9,' Separated',' Sales',' Not-in-family',' White',' Female',0,0,47,' United-States',' <=50K'
59,' Self-emp-not-inc',140957,' Assoc-voc',11,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,35,' United-States',' >50K'
18,' ?',151463,' 11th',7,' Never-married',' ?',' Other-relative',' White',' Male',0,0,7,' United-States',' <=50K'
49,' Private',179869,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
45,' Local-gov',182100,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
27,' ?',162104,' 9th',5,' Never-married',' ?',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
49,' Private',84013,' HS-grad',9,' Divorced',' Other-service',' Unmarried',' White',' Female',0,0,35,' United-States',' <=50K'
44,' Private',207578,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,35,' United-States',' >50K'
42,' Private',274198,' 5th-6th',3,' Married-civ-spouse',' Machine-op-inspct',' Wife',' White',' Female',0,0,38,' Mexico',' <=50K'
25,' Private',235795,' Assoc-acdm',12,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,48,' United-States',' <=50K'
29,' Local-gov',195520,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
53,' Private',268545,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',0,0,40,' Jamaica',' <=50K'
34,' Private',245487,' 7th-8th',4,' Married-civ-spouse',' Transport-moving',' Husband',' Amer-Indian-Eskimo',' Male',0,0,45,' Mexico',' <=50K'
27,' ?',90270,' Assoc-acdm',12,' Married-civ-spouse',' ?',' Own-child',' Amer-Indian-Eskimo',' Male',0,0,40,' United-States',' <=50K'
49,' Federal-gov',420282,' Some-college',10,' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
22,' Private',164775,' 9th',5,' Never-married',' Machine-op-inspct',' Unmarried',' White',' Male',0,0,40,' Guatemala',' <=50K'
24,' Private',321435,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
22,' Private',359759,' Some-college',10,' Never-married',' Sales',' Not-in-family',' Asian-Pac-Islander',' Male',0,0,20,' Philippines',' <=50K'
49,' Private',140121,' HS-grad',9,' Divorced',' Exec-managerial',' Unmarried',' White',' Male',0,0,50,' United-States',' <=50K'
26,' Private',236068,' Some-college',10,' Never-married',' Sales',' Other-relative',' White',' Female',0,0,20,' United-States',' <=50K'
33,' Private',201988,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
40,' Self-emp-inc',142444,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,45,' United-States',' <=50K'
23,' Private',313573,' Bachelors',13,' Never-married',' Sales',' Own-child',' Black',' Female',0,0,25,' United-States',' <=50K'
29,' Private',228860,' Some-college',10,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,35,' United-States',' <=50K'
27,' Private',219371,' HS-grad',9,' Never-married',' Other-service',' Not-in-family',' White',' Female',0,0,35,' United-States',' <=50K'
28,' Private',125321,' HS-grad',9,' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
27,' Private',147951,' HS-grad',9,' Never-married',' Machine-op-inspct',' Other-relative',' White',' Male',0,0,1,' United-States',' <=50K'
38,' Private',33105,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' Amer-Indian-Eskimo',' Male',0,0,70,' United-States',' >50K'
35,' Private',301862,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
28,' Private',224634,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,45,' United-States',' >50K'
45,' Private',81534,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' Asian-Pac-Islander',' Male',0,0,84,' Japan',' >50K'
41,' Private',174395,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
35,' Private',202397,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' Asian-Pac-Islander',' Male',0,0,40,' Philippines',' >50K'
55,' Private',220262,' HS-grad',9,' Divorced',' Sales',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
54,' Private',175912,' 10th',6,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' State-gov',355700,' HS-grad',9,' Separated',' Adm-clerical',' Unmarried',' White',' Female',0,0,20,' United-States',' <=50K'
66,' Local-gov',140849,' HS-grad',9,' Widowed',' Other-service',' Not-in-family',' White',' Female',0,0,25,' United-States',' <=50K'
45,' Private',201699,' Assoc-voc',11,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
23,' Private',117789,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,60,' United-States',' <=50K'
44,' Private',467799,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' Self-emp-not-inc',28568,' HS-grad',9,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,60,' United-States',' >50K'
19,' Private',104112,' HS-grad',9,' Never-married',' Sales',' Unmarried',' Black',' Male',0,0,30,' Haiti',' <=50K'
57,' Private',121821,' 1st-4th',2,' Married-civ-spouse',' Other-service',' Husband',' Other',' Male',0,0,40,' Dominican-Republic',' <=50K'
43,' Private',51506,' 12th',8,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
35,' Private',411395,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,36,' United-States',' <=50K'
34,' Local-gov',167999,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,33,' United-States',' <=50K'
18,' ?',216508,' HS-grad',9,' Never-married',' ?',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
52,' Federal-gov',22428,' Bachelors',13,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,60,' United-States',' >50K'
43,' Local-gov',98130,' Bachelors',13,' Divorced',' Prof-specialty',' Own-child',' White',' Female',0,0,39,' United-States',' <=50K'
26,' Private',243560,' Some-college',10,' Never-married',' Sales',' Unmarried',' White',' Female',0,0,40,' ?',' <=50K'
55,' Private',116442,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,38,' United-States',' <=50K'
70,' Local-gov',176493,' Some-college',10,' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',0,0,17,' United-States',' <=50K'
52,' Private',208302,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
44,' Self-emp-not-inc',120539,' Bachelors',13,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,50,' United-States',' >50K'
33,' Local-gov',222654,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,66,' ?',' <=50K'
21,' State-gov',48121,' Some-college',10,' Never-married',' Exec-managerial',' Own-child',' White',' Male',0,1602,10,' United-States',' <=50K'
39,' Private',382802,' 10th',6,' Widowed',' Machine-op-inspct',' Not-in-family',' Black',' Male',0,1590,40,' United-States',' <=50K'
22,' Private',310380,' HS-grad',9,' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
51,' Self-emp-not-inc',199005,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
51,' Private',143741,' Some-college',10,' Married-civ-spouse',' Other-service',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
21,' Private',275726,' HS-grad',9,' Never-married',' Craft-repair',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
60,' Private',198170,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,45,' United-States',' >50K'
24,' Private',202570,' Bachelors',13,' Never-married',' Prof-specialty',' Own-child',' Black',' Male',0,0,15,' United-States',' <=50K'
17,' Private',329783,' 10th',6,' Never-married',' Sales',' Other-relative',' White',' Female',0,0,10,' United-States',' <=50K'
28,' State-gov',445824,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,50,' United-States',' >50K'
44,' ?',109912,' Bachelors',13,' Married-civ-spouse',' ?',' Wife',' White',' Female',0,0,16,' United-States',' >50K'
54,' Local-gov',219276,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',0,0,40,' Philippines',' >50K'
32,' Federal-gov',164707,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
42,' Private',332401,' Bachelors',13,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
36,' Self-emp-not-inc',89622,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,80,' United-States',' >50K'
34,' Private',226296,' 11th',7,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
32,' Private',385959,' HS-grad',9,' Never-married',' Craft-repair',' Own-child',' White',' Male',0,0,50,' United-States',' <=50K'
40,' Private',171424,' HS-grad',9,' Divorced',' Transport-moving',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
43,' Federal-gov',114537,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
46,' Private',243743,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
29,' Private',142519,' HS-grad',9,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
51,' Private',175339,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,47,' United-States',' >50K'
26,' Private',211265,' Some-college',10,' Married-spouse-absent',' Craft-repair',' Other-relative',' Black',' Female',0,0,35,' Dominican-Republic',' <=50K'
41,' Private',115562,' HS-grad',9,' Divorced',' Protective-serv',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
59,' Local-gov',102442,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,45,' United-States',' >50K'
41,' Private',166662,' Prof-school',15,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
46,' Private',331776,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
35,' ?',119006,' HS-grad',9,' Widowed',' ?',' Own-child',' White',' Female',0,0,38,' United-States',' <=50K'
22,' Private',136824,' 11th',7,' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
33,' Private',529104,' 11th',7,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
66,' Private',236784,' Bachelors',13,' Divorced',' Prof-specialty',' Unmarried',' White',' Female',0,0,8,' Cuba',' <=50K'
56,' Private',53366,' 7th-8th',4,' Divorced',' Transport-moving',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
23,' Private',166527,' Some-college',10,' Never-married',' Exec-managerial',' Own-child',' Other',' Female',0,0,40,' United-States',' <=50K'
35,' Self-emp-not-inc',153066,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,60,' United-States',' >50K'
52,' Private',366232,' 9th',5,' Divorced',' Craft-repair',' Unmarried',' White',' Female',0,0,40,' Cuba',' <=50K'
64,' Local-gov',244903,' 11th',7,' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',0,0,40,' United-States',' >50K'
44,' Private',291568,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' Other',' Male',0,0,40,' United-States',' <=50K'
20,' Private',282579,' Some-college',10,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
34,' Private',269723,' HS-grad',9,' Divorced',' Exec-managerial',' Unmarried',' White',' Female',2977,0,50,' United-States',' <=50K'
43,' Local-gov',311914,' Some-college',10,' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
54,' Self-emp-not-inc',175804,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
26,' Private',342953,' HS-grad',9,' Separated',' Adm-clerical',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
33,' Private',280111,' 11th',7,' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',0,0,38,' United-States',' <=50K'
42,' Private',137907,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,35,' United-States',' <=50K'
41,' Private',86399,' Some-college',10,' Separated',' Adm-clerical',' Not-in-family',' White',' Female',0,0,38,' United-States',' <=50K'
42,' Local-gov',222596,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
22,' Private',290504,' HS-grad',9,' Never-married',' Other-service',' Other-relative',' White',' Male',0,0,40,' United-States',' <=50K'
54,' Self-emp-not-inc',46704,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,60,' United-States',' >50K'
48,' Private',156926,' Bachelors',13,' Divorced',' Adm-clerical',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
32,' Self-emp-not-inc',27939,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' Amer-Indian-Eskimo',' Male',0,0,60,' United-States',' <=50K'
66,' ?',213149,' Some-college',10,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,1825,40,' United-States',' >50K'
40,' Private',101272,' HS-grad',9,' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,32,' United-States',' <=50K'
63,' Private',361631,' Masters',14,' Separated',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' >50K'
32,' Private',196342,' Doctorate',16,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' >50K'
46,' Local-gov',141944,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,38,' United-States',' >50K'
32,' Private',195000,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Private',203836,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',3464,0,40,' Columbia',' <=50K'
34,' Self-emp-not-inc',112650,' 7th-8th',4,' Never-married',' Craft-repair',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
56,' Private',32446,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
32,' Private',295117,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' Black',' Male',0,0,40,' England',' >50K'
29,' Private',83003,' HS-grad',9,' Married-civ-spouse',' Other-service',' Wife',' White',' Female',0,0,40,' United-States',' <=50K'
60,' State-gov',136939,' Some-college',10,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
46,' Private',273771,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',99999,0,40,' United-States',' >50K'
24,' State-gov',273905,' Assoc-acdm',12,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
44,' Private',195545,' HS-grad',9,' Divorced',' Machine-op-inspct',' Own-child',' Black',' Female',0,0,40,' United-States',' <=50K'
35,' Private',248010,' Bachelors',13,' Married-spouse-absent',' Craft-repair',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
60,' State-gov',97030,' Bachelors',13,' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',0,0,35,' United-States',' <=50K'
52,' Local-gov',255927,' Some-college',10,' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',0,0,24,' United-States',' <=50K'
20,' Private',289944,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,25,' United-States',' <=50K'
44,' Private',144778,' Some-college',10,' Separated',' Exec-managerial',' Not-in-family',' White',' Male',0,0,45,' United-States',' >50K'
