@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-V-R11-12,6,8,10,15_clustered'

@attribute Instance_number numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute sex {' Male',' Female'}
@attribute class {' <=50K',' >50K'}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
49,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
50,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
51,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
52,0,1902,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
53,0,0,' Divorced',' Not-in-family',' Male',' >50K',cluster0
54,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
55,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
56,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
57,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
58,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
59,5013,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
60,2407,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
61,0,0,' Married-spouse-absent',' Not-in-family',' Male',' <=50K',cluster0
62,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
63,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
64,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
65,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
66,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
67,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
68,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
69,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
70,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
71,0,0,' Separated',' Own-child',' Female',' <=50K',cluster0
72,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
73,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
74,0,0,' Married-civ-spouse',' Other-relative',' Male',' <=50K',cluster0
75,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
76,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
77,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
78,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
79,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
80,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
81,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
82,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
83,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
84,14344,0,' Divorced',' Not-in-family',' Female',' >50K',cluster1
85,0,0,' Divorced',' Own-child',' Female',' <=50K',cluster0
86,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
87,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
88,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
89,0,0,' Never-married',' Not-in-family',' Female',' >50K',cluster0
90,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
91,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
92,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
93,0,1573,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
94,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
95,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
96,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
97,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
98,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
99,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
100,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
101,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
102,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
103,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
104,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
105,7688,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
106,34095,0,' Never-married',' Own-child',' Female',' <=50K',cluster2
107,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
108,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
109,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
110,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
111,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
112,0,1887,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
113,4064,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster2
114,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
115,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
116,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
117,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
118,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
119,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
120,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
121,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
122,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
123,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
124,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
125,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
126,0,1719,' Never-married',' Own-child',' Female',' <=50K',cluster0
127,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
128,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
129,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
130,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
131,0,1762,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
132,4386,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
133,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
134,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
135,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
136,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
137,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
138,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
139,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
140,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
141,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
142,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
143,0,1564,' Never-married',' Not-in-family',' Female',' >50K',cluster0
144,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
145,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
146,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
147,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
148,0,2179,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster2
149,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
150,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
151,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
152,0,0,' Never-married',' Other-relative',' Female',' <=50K',cluster0
153,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
154,0,0,' Divorced',' Not-in-family',' Male',' >50K',cluster0
155,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
156,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
157,0,1816,' Separated',' Unmarried',' Male',' <=50K',cluster0
158,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
159,0,0,' Separated',' Other-relative',' Male',' <=50K',cluster0
160,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
161,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
162,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
163,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
164,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
165,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
166,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
167,0,0,' Widowed',' Unmarried',' Male',' <=50K',cluster0
168,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
169,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
170,0,1980,' Never-married',' Not-in-family',' Male',' <=50K',cluster0
171,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
172,0,1977,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
173,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
174,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
175,0,0,' Married-spouse-absent',' Unmarried',' Female',' <=50K',cluster0
176,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
177,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
178,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
179,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
180,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
181,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
182,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
183,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
184,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
185,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
186,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
187,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
188,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
189,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
190,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
191,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
192,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
193,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
194,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
195,0,0,' Married-civ-spouse',' Other-relative',' Male',' <=50K',cluster0
196,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
197,14084,0,' Never-married',' Not-in-family',' Female',' >50K',cluster1
198,7298,0,' Married-civ-spouse',' Other-relative',' Male',' >50K',cluster1
199,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
200,0,1876,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
201,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
202,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
203,0,1340,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
204,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
205,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
206,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
207,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
208,15024,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster2
209,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
210,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
211,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
212,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
213,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
214,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
215,0,0,' Never-married',' Not-in-family',' Male',' >50K',cluster1
216,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
217,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
218,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
219,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
220,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
221,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
222,0,2206,' Never-married',' Not-in-family',' Male',' <=50K',cluster0
223,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
224,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
225,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
226,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
227,1409,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
228,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
229,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
230,3674,0,' Separated',' Not-in-family',' Male',' <=50K',cluster1
231,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
232,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
233,0,0,' Divorced',' Other-relative',' Female',' <=50K',cluster0
234,0,0,' Never-married',' Not-in-family',' Male',' >50K',cluster1
235,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
236,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
237,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
238,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
239,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
240,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
241,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
242,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
243,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
244,0,1741,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
245,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
246,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
247,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
248,0,1977,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
249,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
250,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
251,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
252,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
253,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
254,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
255,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
256,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
257,0,0,' Separated',' Not-in-family',' Female',' <=50K',cluster0
258,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
259,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
260,0,0,' Divorced',' Own-child',' Female',' <=50K',cluster0
261,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
262,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
263,4064,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
264,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
265,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
266,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
267,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
268,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
269,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
270,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
271,1055,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
272,2407,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
273,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
274,0,0,' Divorced',' Own-child',' Female',' <=50K',cluster0
275,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
276,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
277,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
278,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
279,7298,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster2
280,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
281,5178,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
282,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
283,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
284,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
285,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
286,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
287,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
288,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
289,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
290,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
291,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
292,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
293,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
294,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
295,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
296,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
297,3464,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster2
298,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
299,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
300,7688,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
301,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
302,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
303,4386,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
304,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
305,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
306,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
307,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
308,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
309,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
310,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
311,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
312,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
313,0,0,' Divorced',' Not-in-family',' Female',' >50K',cluster0
314,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
315,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
316,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
317,0,0,' Married-civ-spouse',' Other-relative',' Female',' <=50K',cluster0
318,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
319,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
320,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
321,0,1485,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster2
322,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
323,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
324,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
325,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
326,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
327,0,1887,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
328,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
329,2050,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
330,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
331,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
332,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
333,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
334,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
335,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
336,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
337,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
338,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
339,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
340,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
341,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
342,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
343,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
344,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
345,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
346,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
347,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
348,0,0,' Married-spouse-absent',' Not-in-family',' Male',' <=50K',cluster0
349,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
350,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
351,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
352,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
353,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
354,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
355,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
356,0,0,' Widowed',' Unmarried',' Male',' <=50K',cluster0
357,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
358,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
359,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
360,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
361,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
362,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
363,0,1564,' Divorced',' Not-in-family',' Male',' >50K',cluster0
364,0,0,' Married-spouse-absent',' Not-in-family',' Male',' <=50K',cluster0
365,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
366,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
367,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
368,0,0,' Divorced',' Not-in-family',' Female',' >50K',cluster0
369,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
370,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
371,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
372,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
373,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
374,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
375,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
376,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
377,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
