Instance_number,age,education-num,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,cluster
0.002488,0.479452,0.8,0.2,0,0,0,0,0.397959,0,cluster2
0.002518,0.39726,0.533333,0.4,0,1,0,0,0.397959,0,cluster0
0.002549,0.575342,0.533333,0.2,0,0,0,0,0.479592,0,cluster2
0.00258,0.369863,0.533333,0,0,1,0.143441,0,0.397959,1,cluster1
0.002611,0.493151,0.533333,0.6,0,1,0,0,0.346939,0,cluster0
0.002641,0.438356,0.533333,0.2,0,0,0,0,0.397959,1,cluster2
0.002672,0.219178,0.866667,0.2,0,0,0,0,0.5,0,cluster2
0.002703,0.178082,0.266667,0,0,0,0,0,0.397959,0,cluster0
0.002733,0.356164,1,0,0,1,0,0,0.5,1,cluster0
0.002764,0.547945,0.666667,0.2,0,0,0,0,0.397959,0,cluster2
0.002795,0.273973,0.6,0.8,0,1,0,0,0.397959,0,cluster0
0.002826,0.150685,0.6,0.8,0.25,1,0,0,0.244898,0,cluster0
0.002856,0.178082,0.533333,0.4,0.5,1,0,0.361111,0.346939,0,cluster0
0.002887,0.232877,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.002918,0.164384,0.6,0,0,0,0,0,0.5,0,cluster0
0.002948,0.424658,1,0.2,0,0,0,0.436639,0.602041,1,cluster2
0.002979,0.273973,0.6,0.2,0,0,0,0,0.479592,1,cluster2
0.00301,0.424658,0.733333,0.8,0,1,0,0,0.397959,0,cluster0
0.003041,0.205479,0.533333,0.6,0.25,0,0,0,0.397959,0,cluster0
0.003071,0.808219,0.866667,0.2,0,0,0,0,0.397959,1,cluster2
0.003102,0.369863,0.8,0.2,0,0,0.150242,0,0.602041,1,cluster1
0.003133,0.410959,0.866667,0,0,1,0,0,0.5,0,cluster0
0.003163,0.041096,0.6,0.6,0,1,0,0,0.397959,0,cluster0
0.003194,0.164384,0.533333,0,0,0,0,0,0.397959,0,cluster0
0.003225,0.205479,0.533333,0.2,0,0,0.076881,0,0.397959,1,cluster1
0.003256,0,0.333333,0.6,0,1,0.340953,0,0.316327,0,cluster1
0.003286,0.178082,0.4,0.6,0,0,0,0,0.397959,0,cluster0
0.003317,0.191781,0.533333,0,0,1,0,0,0.397959,0,cluster0
0.003348,0.342466,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.003378,0.09589,0.8,1,0,0,0,0,0.397959,0,cluster0
0.003409,0.287671,0.933333,0.2,0,0,0,0,0.397959,1,cluster2
0.00344,0.534247,0.533333,0.2,0,0,0,0.433196,0.5,1,cluster2
0.003471,0.150685,0.6,0.4,0,1,0.04064,0,0.244898,0,cluster1
0.003501,0.260274,0.533333,0.6,0,1,0,0,0.397959,0,cluster0
0.003532,0.493151,0.266667,0.2,0,0,0,0,0.5,0,cluster2
0.003563,0.534247,0.6,0.2,0,0,0,0,0.5,0,cluster2
0.003593,0.438356,0.666667,0.2,0.25,0,0,0,0.397959,1,cluster0
0.003624,0.520548,0.6,0.2,0,0,0,0,0.561224,0,cluster2
0.003655,0.068493,0.533333,0,0,0,0,0,0.408163,0,cluster0
0.003686,0.054795,0.6,0.6,0,1,0,0,0.397959,0,cluster0
0.003716,0.315068,0.8,0.2,0,0,0,0,0.602041,0,cluster2
0.003747,0.178082,0.8,0.6,0.25,0,0,0,0.397959,0,cluster0
0.003778,0.164384,0.8,0.2,0,0,0,0,0.5,1,cluster2
0.003808,0.027397,0.6,0.6,0.25,0,0,0,0.346939,0,cluster0
0.003839,0.410959,0.8,0.4,0,1,0,0,0.397959,1,cluster0
0.00387,0.041096,0.6,0.6,0,1,0,0.394628,0.27551,0,cluster0
0.0039,0.191781,0.733333,0.2,0,0,0,0,0.397959,1,cluster2
0.003931,0.246575,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.003962,0.30137,0.6,0,0,0,0,0,0.397959,0,cluster0
0.003993,0.150685,0.733333,0,0,1,0,0,0.602041,0,cluster0
0.004023,0.09589,0.533333,0,0,1,0,0.4045,0.397959,0,cluster0
0.004054,0.287671,0.533333,0.2,0,0,0.04386,0,0.346939,0,cluster1
0.004085,0.273973,0.8,0.2,0,0,0,0,0.5,0,cluster2
0.004115,0.39726,0.733333,0,0.25,1,0,0,0.357143,0,cluster0
0.004146,0.287671,0.866667,0.2,0,0,0,0,0.397959,1,cluster2
0.004177,0.356164,0.533333,0.2,0,0,0,0,0.602041,0,cluster2
0.004208,0.136986,0.666667,0.4,0,1,0,0,0.346939,0,cluster0
0.004238,0.041096,0.6,0.6,0,0,0,0,0.193878,0,cluster0
0.004269,0.438356,0.6,0.2,0.5,0,0,0,0.397959,1,cluster0
0.0043,0.60274,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.00433,0.136986,0.6,0.6,0,1,0,0,0.397959,0,cluster0
0.004361,0.027397,0.6,0.6,0,0,0,0,0.295918,0,cluster0
0.004392,0.383562,0.666667,0,0,1,0,0.359045,0.397959,1,cluster2
0.004423,0.726027,0.6,1,0,0,0,0,0.397959,0,cluster0
0.004453,0.191781,0.533333,0.8,0.25,1,0,0,0.295918,0,cluster0
0.004484,0.068493,0.6,0.2,0,0,0,0,0.234694,0,cluster0
0.004515,0.260274,0.533333,0.8,0,1,0,0,0.234694,0,cluster0
0.004545,0.643836,0.4,0.2,0,0,0,0.50023,0.397959,0,cluster2
0.004576,0.356164,0.6,0,0,1,0,0,0.397959,0,cluster0
0.004607,0.410959,0.6,0.8,0,1,0,0,0.377551,0,cluster0
0.004638,0.232877,0.533333,0,0,1,0,0,0.397959,0,cluster0
0.004668,0.219178,0.8,1,0.5,1,0,0,0.397959,0,cluster0
0.004699,0.054795,0.533333,0.6,0,0,0,0,0.346939,0,cluster0
0.00473,0.479452,0.533333,0,0,0,0,0,0.44898,1,cluster2
0.00476,0.424658,0.533333,0.2,0,0,0,0,0.459184,0,cluster2
0.004791,0.082192,0.8,0,0,0,0,0,0.397959,0,cluster0
0.004822,0.739726,0.6,0.8,0.25,0,0,0.416896,0.010204,0,cluster0
0.004853,0.164384,0.533333,0,0,0,0,0,0.602041,0,cluster0
0.004883,0.342466,0.8,1,0.25,0,0,0,0.5,0,cluster0
0.004914,0.69863,0.066667,0,0,1,0,0,0.193878,0,cluster0
0.004945,0.109589,0.533333,0.8,0,1,0,0,0.397959,0,cluster0
0.004975,0.369863,0.866667,0.8,0.5,1,0,0,0.397959,0,cluster0
0.005006,0.150685,0.533333,0,0.5,1,0,0,0.397959,0,cluster0
0.005037,0.383562,0.866667,0.2,0,0,0,0,0.397959,1,cluster2
0.005068,0.260274,0.6,0.8,0,1,0,0,0.397959,0,cluster0
0.005098,0.30137,0.733333,0,0,0,0,0,0.418367,0,cluster2
0.005129,0.39726,0.866667,0.8,0,0,0,0,0.397959,0,cluster0
0.00516,0.013699,0.4,0.6,0,0,0,0,0.153061,0,cluster0
0.00519,0.671233,0.666667,0,0,1,0,0,0.193878,0,cluster0
0.005221,0.136986,0.533333,0,0,0,0,0.454545,0.397959,0,cluster2
0.005252,0.150685,0.533333,0.2,0,0,0,0,0.397959,0,cluster0
0.005283,0.465753,0.6,0.2,0,0,0,0.453857,0.397959,1,cluster2
0.005313,0.136986,0.8,0,0,0,0,0,0.5,0,cluster0
0.005344,0.150685,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.005375,0.136986,0.533333,0.8,0,1,0,0,0.244898,0,cluster0
0.005405,0.054795,0.533333,0.6,0.25,0,0,0,0.397959,0,cluster0
0.005436,0.232877,0.533333,0,0.25,0,0,0,0.397959,0,cluster0
0.005467,0.013699,0.533333,0.6,0,0,0,0,0.112245,0,cluster0
0.005498,0.219178,0.8,0.2,0,0,0,0,0.653061,0,cluster2
0.005528,0.369863,0.6,0.2,0.25,0,0,0,0.377551,1,cluster0
0.005559,0.356164,0.6,0,0,1,0,0,0.397959,0,cluster0
0.00559,0.178082,0.6,0,0.25,0,0,0,0.44898,0,cluster0
0.00562,0.315068,0.2,0.2,0,0,0,0,0.397959,1,cluster2
0.005651,0.273973,0.6,0.2,0,0,0,0,0.418367,1,cluster2
0.005682,0.232877,0.533333,0.2,0.25,0,0,0,0.397959,0,cluster0
0.005713,0.328767,0.8,0,0,1,0,0,0.397959,0,cluster0
0.005743,0.493151,0.8,0,0,1,0,0,0.5,0,cluster0
0.005774,0.191781,0.866667,0.4,0,1,0,0,0.5,0,cluster0
0.005805,0.561644,1,0.2,0,0,0,0,0,1,cluster2
0.005835,0.287671,0.6,0,0.25,1,0,0,0.27551,0,cluster0
0.005866,0.09589,0.6,0.2,0,0,0,0,0.397959,0,cluster0
0.005897,0.328767,0.8,0.2,0.25,0,0,0,0.397959,0,cluster0
0.005928,0.410959,0.6,0.2,0,0,0,0,0.44898,0,cluster2
0.005958,0.328767,0.8,0.2,0,0,0,0,0.234694,0,cluster2
0.005989,0.082192,0.133333,1,0,0,0,0,0.397959,0,cluster0
0.00602,0.260274,0.6,0,0,0,0,0,0.397959,0,cluster0
0.00605,0.315068,0.866667,0,0,1,0.140841,0,0.55102,1,cluster1
0.006081,0.246575,0.866667,1,0,0,0.072981,0,0.397959,1,cluster1
0.006112,0.09589,0.533333,0,0,0,0,0,0.397959,0,cluster0
0.006143,0.123288,0.866667,0,0,1,0,0.43067,0.397959,0,cluster0
0.006173,0.027397,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.006204,0.465753,0.8,0.2,0,0,0,0,0.5,1,cluster2
0.006235,0.342466,0.6,0,0,1,0,0.307622,0.397959,0,cluster0
0.006265,0.273973,0.533333,0.8,0,1,0,0,0.346939,0,cluster0
0.006296,0.013699,0.4,0.6,0,1,0,0,0.397959,0,cluster0
0.006327,0.260274,0.8,0.2,0.25,0,0.072981,0,0.357143,1,cluster1
0.006357,0.246575,0.533333,0,0,0,0,0,0.602041,0,cluster0
0.006388,0.561644,0.533333,0.4,0,1,0.150242,0,0.346939,1,cluster1
0.006419,0,0.4,0.6,0,1,0,0,0.112245,0,cluster0
0.00645,0.369863,0.533333,0.2,0.25,0,0,0,0.397959,0,cluster0
0.00648,0.273973,0.533333,0.2,0,0,0,0,0.397959,1,cluster2
0.006511,0.246575,0.6,0,0.75,1,0,0,0.397959,0,cluster0
0.006542,0.589041,0.533333,0.2,0.5,0,0,0,0.397959,0,cluster0
0.006572,0.506849,0.2,0.2,0,0,0,0,0.397959,1,cluster2
0.006603,0.273973,0.8,0,0.25,0,0,0,0.602041,1,cluster0
0.006634,0.452055,0.733333,0,0,1,0,0,0.397959,0,cluster0
0.006665,0.287671,0.8,0.2,0,0,0,0,0.5,0,cluster2
0.006695,0.383562,0.8,0.2,0,0,0,0,0.55102,0,cluster2
0.006726,0.109589,0.333333,0,0,0,0,0,0.397959,0,cluster0
0.006757,0.191781,0.6,0.2,0,0,0,0,0.397959,0,cluster0
0.006787,0.643836,0.066667,0,0,0,0,0,0.397959,0,cluster0
0.006818,1,0.533333,0,0.25,0,0,0.506428,0.397959,0,cluster1
0.006849,0.506849,0.533333,0.2,0.25,0,0,0,0.193878,0,cluster0
0.00688,0.493151,0,0,0,1,0,0,0.346939,0,cluster0
0.00691,0.013699,0.533333,0.6,0,1,0,0,0.397959,0,cluster0
0.006941,0.589041,0.333333,0,0.75,1,0,0,0.091837,0,cluster0
0.006972,0.671233,0.533333,0.2,0,0,0.01409,0,0.5,0,cluster1
0.007002,0.794521,0.666667,0,0,1,0,0,0.193878,0,cluster0
0.007033,0.657534,0.533333,0,0,1,0,0,0.397959,0,cluster0
0.007064,0.246575,0.4,0,0.25,0,0.03674,0,0.397959,0,cluster1
0.007095,0.328767,0.533333,0.8,0.25,1,0,0,0.377551,0,cluster0
0.007125,0.109589,0.6,0,0,0,0,0,0.418367,0,cluster0
0.007156,0.219178,0.6,1,1,1,0,0,0.397959,0,cluster0
0.007187,0.150685,0.933333,0,0,0,0,0,0.55102,1,cluster2
0.007217,0.575342,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.007248,0.315068,0.6,0,0,1,0,0,0.377551,0,cluster0
0.007279,0.328767,0.8,0.2,0,0,0,0,0.5,1,cluster2
0.00731,0.287671,0.866667,0.2,0,0,0,0,0.704082,1,cluster2
0.00734,0.082192,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.007371,0.315068,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.007402,0.328767,0.533333,0.4,0,1,0,0,0.193878,0,cluster0
0.007432,0.09589,0.733333,0.2,0,0,0,0,0.5,0,cluster2
0.007463,0.041096,0.6,0.6,0,0,0,0,0.193878,0,cluster0
0.007494,0.287671,0.6,0,0,0,0,0.399679,0.397959,0,cluster2
0.007525,0.534247,0.533333,0.2,0,0,0,0,0.346939,0,cluster2
0.007555,0.561644,0.533333,0.2,0,0,0,0,0.44898,1,cluster2
0.007586,0.205479,0.533333,0,0,1,0,0,0.336735,0,cluster0
0.007617,0.315068,0.733333,0.2,0,0,0,0.453857,0.602041,1,cluster2
0.007647,0.383562,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.007678,0.328767,0.933333,0.4,0,1,0,0,0.397959,1,cluster0
0.007709,0.342466,0.8,0.4,0.25,1,0,0,0.397959,0,cluster0
0.00774,0.575342,0.333333,0.8,0.25,1,0,0,0.295918,0,cluster0
0.00777,0.027397,0.6,0.6,0,0,0,0,0.397959,0,cluster0
0.007801,0.561644,0.6,0,0,0,0,0,0.193878,0,cluster0
0.007832,0.342466,0.533333,0.2,0.5,0,0,0,0.397959,1,cluster0
0.007862,0.041096,0.533333,0.6,0,1,0,0,0.397959,0,cluster0
0.007893,0.205479,0.533333,0,0,1,0,0,0.295918,0,cluster0
0.007924,0.383562,0.666667,0,0,1,0,0,0.44898,0,cluster0
0.007955,0.452055,0.2,0,0,0,0,0,0.397959,0,cluster0
0.007985,0.260274,0.8,0.6,0,1,0,0,0.397959,0,cluster0
0.008016,0.383562,0.533333,0.2,0,0,0,0,0.602041,0,cluster2
0.008047,0,0.4,0.6,0,0,0,0,0.112245,0,cluster0
0.008077,0.575342,0.6,0.2,0,0,0.04064,0,0.397959,0,cluster1
0.008108,0.123288,0.4,0.2,0,0,0,0,0.397959,0,cluster0
0.008139,0.273973,0.6,0.2,0.5,0,0,0,0.755102,1,cluster0
0.00817,0.027397,0.6,0.6,0,0,0,0,0.234694,0,cluster0
0.0082,0.643836,0.533333,0.2,0,0,0,0,0.397959,1,cluster2
0.008231,0.219178,0.8,0,0,1,0,0,0.44898,0,cluster0
0.008262,0.219178,0.533333,0.4,0,1,0,0,0.397959,1,cluster0
0.008292,0.60274,0.533333,0.2,0,0,0,0,0.397959,1,cluster2
0.008323,0,0.266667,0.6,0,0,0.01055,0,0.234694,0,cluster1
0.008354,0.452055,0.866667,0.2,0,0,0.02407,0,0.989796,0,cluster1
0.008385,0.136986,0.866667,0.6,0,0,0,0,0.346939,0,cluster0
0.008415,0.178082,0.533333,0.6,0,1,0,0,0.397959,0,cluster0
0.008446,0.356164,0.533333,0.2,0.25,0,0,0,0.397959,0,cluster0
0.008477,0.369863,0.6,0.2,0,0,0.072981,0,0.397959,1,cluster1
0.008507,0.246575,0.6,0,0,1,0,0,0.397959,0,cluster0
0.008538,0.109589,0.6,0.6,0,1,0,0,0.397959,0,cluster0
0.008569,0.09589,0.6,0.4,0,1,0.072981,0,0.479592,1,cluster1
0.0086,0.068493,0.8,0,0,1,0,0,0.142857,0,cluster0
0.00863,0.342466,0.6,0.2,0,0,0.051781,0,0.397959,1,cluster1
0.008661,0.232877,0.733333,0.8,0.25,1,0,0,0.44898,0,cluster0
0.008692,0.589041,0.8,0,0,1,0,0,0.418367,0,cluster0
0.008722,0.054795,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.008753,0.547945,0.866667,0.2,0,0,0.150242,0,0.397959,1,cluster1
0.008784,0.328767,0.933333,0.2,0,0,0,0,0.602041,1,cluster2
0.008814,0.452055,0.6,0,0,0,0,0,0.44898,0,cluster2
0.008845,0.109589,0.8,0,0,1,0,0,0.397959,0,cluster0
0.008876,0.452055,0.2,0.2,0,0,0,0,0.397959,0,cluster0
0.008907,0.260274,0.8,0.2,0,0,0,0,0.44898,0,cluster2
0.008937,0.191781,0.533333,0,0,1,0,0,0.397959,0,cluster0
0.008968,0.164384,0.8,0,0,0,0,0,0.561224,0,cluster2
0.008999,0.054795,0.6,0.6,0,0,0,0,0.44898,0,cluster0
0.009029,0.136986,0.8,0.8,0.25,1,0,0,0.397959,0,cluster0
0.00906,0.657534,0.533333,0.2,0,0,0,0,0.153061,0,cluster0
0.009091,0.273973,0.8,0,0,1,0,0,0.602041,0,cluster0
0.009122,0.30137,0.866667,0.4,0.5,1,0.03464,0,0.397959,0,cluster1
0.009152,0.09589,0.533333,0.6,0,0,0,0,0.397959,0,cluster0
0.009183,0.287671,0.533333,0,0,0,0,0,0.806122,0,cluster2
0.009214,0.424658,0.8,0.2,0,0,0.076881,0,0.397959,1,cluster1
0.009244,0.054795,0.6,0,0.5,1,0,0,0.244898,0,cluster0
0.009275,0.191781,0.533333,0.2,0,0,0,0,0.44898,1,cluster2
0.009306,0.520548,0.533333,0.2,0,0,0.04386,0,0.397959,1,cluster1
0.009337,0.09589,0.6,0.4,0.5,1,0,0,0.397959,0,cluster0
0.009367,0.356164,0.533333,0,0,1,0,0,0.397959,0,cluster0
0.009398,0.123288,0.733333,0,0,0,0,0,0.44898,0,cluster0
0.009429,0.39726,0.733333,0,0,1,0,0,0.326531,0,cluster0
0.009459,0.246575,0.733333,0.2,0,0,0,0,0.397959,1,cluster2
0.00949,0.328767,0.6,0.2,0,0,0,0,0.540816,1,cluster2
0.009521,0.123288,0.8,0,0,0,0,0,0.397959,0,cluster0
0.009552,0.232877,0.866667,0.2,0.5,0,0.072981,0,0.346939,1,cluster1
0.009582,0.027397,0.6,0.6,0.25,1,0,0,0.244898,0,cluster0
0.009613,0.260274,0.8,0,0.25,1,0,0,0.397959,1,cluster0
0.009644,0.068493,0.6,0.6,0,0,0,0,0.142857,0,cluster0
0.009674,0.09589,0.6,0,0,0,0,0,0.397959,0,cluster0
0.009705,0.821918,0.6,0.2,0,0,0,0,0.397959,0,cluster2
0.009736,0.068493,0.133333,1,0,1,0,0,0.397959,0,cluster0
0.009767,0.164384,0.6,0,0,1,0,0,0.397959,0,cluster0
0.009797,0.616438,0.533333,0,0,1,0,0,0.234694,0,cluster0
0.009828,0.30137,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.009859,0.356164,0.6,0.2,0,0,0,0.340909,0.5,0,cluster2
0.009889,0.246575,0.533333,0,0,0,0,0,0.44898,0,cluster0
0.00992,0.164384,0.4,0,0,1,0,0,0.397959,0,cluster0
0.009951,0.808219,0.866667,0.2,0,0,0,0,0.091837,0,cluster0
0.009982,0.630137,0.533333,0.2,0,0,0,0,0.44898,0,cluster2
0.010012,0.082192,0.666667,0.6,0.25,1,0,0,0.142857,0,cluster0
0.010043,0.356164,0.6,0.4,0,1,0,0.433196,0.5,1,cluster2
0.010074,0.561644,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.010104,0.671233,0.533333,0,0,0,0.0205,0,0.55102,0,cluster1
0.010135,0.328767,0.6,0,0.25,0,0,0,0.44898,0,cluster0
0.010166,0.123288,0.8,0,0,0,0,0,0.397959,0,cluster0
0.010197,0.410959,0.666667,0,0,0,0,0,0.397959,0,cluster2
0.010227,0.520548,0.333333,0.2,0,0,0,0,0.397959,0,cluster0
0.010258,0.493151,0.533333,0.2,0,0,0,0,0.397959,0,cluster2
0.010289,0,0.133333,1,0,0,0,0,0.479592,0,cluster0
0.010319,0.178082,0.533333,1,0,0,0,0,0.397959,0,cluster0
0.01035,0.438356,0.866667,0,0,0,0,0,0.602041,0,cluster2
0.010381,0.027397,0.533333,0.8,0.25,0,0,0,0.295918,0,cluster0
0.010412,0.383562,0.533333,0.2,0.25,0,0,0,0.397959,0,cluster0
0.010442,0.123288,0.733333,0,0,0,0,0,0.397959,0,cluster0
0.010473,0.287671,0.666667,0.2,0,0,0.072981,0,0.397959,1,cluster1
0.010504,0.260274,0.533333,0.2,0,0,0.072981,0,0.397959,1,cluster1
0.010534,0.219178,0.533333,0,0,0,0,0,0.193878,0,cluster0
0.010565,0.068493,0.6,0.6,0.25,1,0,0,0.397959,0,cluster0
0.010596,0.356164,0.8,0,0,0,0,0,0.418367,0,cluster2
0.010627,0.684932,0.4,0.2,0,0,0,0,0.071429,0,cluster0
0.010657,0.178082,0.666667,0.8,0,1,0,0,0.397959,0,cluster0
0.010688,0.534247,0.733333,0,0,0,0,0,0.244898,0,cluster0
0.010719,0.191781,0.8,0.6,0,0,0,0,0.244898,0,cluster0
0.010749,0.219178,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.01078,0.123288,0.533333,0.2,0,0,0,0,0.397959,0,cluster0
0.010811,0.219178,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.010842,0.39726,0.4,0.2,0,0,0,0,0.295918,0,cluster0
0.010872,0.575342,0.8,0.2,0,0,0,0,0.397959,1,cluster2
0.010903,0.287671,0.533333,0.2,0,0,0,0,0.397959,1,cluster2
0.010934,0.657534,0.4,0.8,1,0,0,0,0.397959,0,cluster0
0.010964,0.315068,0.666667,0.2,0,0,0,0,0.397959,1,cluster2
0.010995,0.342466,0.533333,0.4,0,1,0,0,0.346939,0,cluster0
0.011026,0.123288,0.266667,0.2,0,0,0,0,0.397959,0,cluster0
0.011057,0.260274,0.333333,0.4,0,1,0,0,0.234694,0,cluster0
