@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-R2-4,7,9,14-weka.filters.supervised.attribute.NominalToBinary'

@attribute age numeric
@attribute education-num numeric
@attribute 'marital-status= Never-married' numeric
@attribute 'marital-status= Married-civ-spouse' numeric
@attribute 'marital-status= Divorced' numeric
@attribute 'marital-status= Married-spouse-absent' numeric
@attribute 'marital-status= Separated' numeric
@attribute 'marital-status= Married-AF-spouse' numeric
@attribute 'marital-status= Widowed' numeric
@attribute 'relationship= Not-in-family' numeric
@attribute 'relationship= Husband' numeric
@attribute 'relationship= Wife' numeric
@attribute 'relationship= Own-child' numeric
@attribute 'relationship= Unmarried' numeric
@attribute 'relationship= Other-relative' numeric
@attribute sex numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {' <=50K',' >50K'}

@data
49,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
25,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,' <=50K'
57,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
53,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,' <=50K'
44,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
41,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
29,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,' <=50K'
25,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' <=50K'
18,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30,' <=50K'
47,15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1902,60,' >50K'
50,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55,' >50K'
47,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,60,' <=50K'
43,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
46,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
35,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
41,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,' <=50K'
30,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5013,0,40,' <=50K'
30,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2407,0,40,' <=50K'
32,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
48,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
42,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' >50K'
29,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,58,' <=50K'
36,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
28,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
53,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' >50K'
49,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' >50K'
25,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
19,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,' <=50K'
31,13,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
29,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,' >50K'
23,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
79,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,' <=50K'
27,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
40,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
67,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,' <=50K'
18,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22,' <=50K'
31,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
18,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,' <=50K'
52,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
46,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' <=50K'
59,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,' <=50K'
44,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,14344,0,40,' >50K'
53,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,35,' <=50K'
49,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
33,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
30,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
43,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,50,' >50K'
57,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
37,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
28,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,25,' <=50K'
30,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1573,35,' <=50K'
34,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
29,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,' <=50K'
48,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1902,60,' >50K'
37,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,' >50K'
48,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
32,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
76,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
44,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15024,0,60,' >50K'
47,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,50,' <=50K'
20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
29,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
32,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7688,0,40,' >50K'
17,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,34095,0,32,' <=50K'
30,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
31,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
42,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
24,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,' <=50K'
38,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
56,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1887,50,' >50K'
28,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4064,0,25,' <=50K'
36,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
53,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
56,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
49,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
55,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,' <=50K'
22,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,' <=50K'
21,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
40,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' <=50K'
30,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
29,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' >50K'
19,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,' <=50K'
47,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' >50K'
20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1719,28,' <=50K'
31,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
35,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
39,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
28,12,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,60,' <=50K'
24,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1762,40,' <=50K'
38,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4386,0,35,' <=50K'
37,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
46,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,36,' <=50K'
38,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
43,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' <=50K'
27,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,' <=50K'
20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,' <=50K'
49,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
61,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
27,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
19,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,' <=50K'
45,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1564,40,' >50K'
70,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,' <=50K'
31,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30,' <=50K'
22,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,' <=50K'
36,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,24,' <=50K'
64,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2179,40,' <=50K'
43,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
47,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,38,' <=50K'
34,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
33,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40,' <=50K'
21,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,' <=50K'
52,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,' >50K'
48,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,' <=50K'
23,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
71,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1816,2,' <=50K'
29,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,60,' <=50K'
42,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50,' <=50K'
68,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,20,' <=50K'
25,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
44,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
28,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
45,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
36,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,40,' <=50K'
39,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,' <=50K'
46,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,40,' <=50K'
18,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,' <=50K'
66,11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,20,' <=50K'
27,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980,40,' <=50K'
28,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
51,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1977,40,' >50K'
27,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,' <=50K'
28,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
27,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,25,' <=50K'
21,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
34,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
18,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,' <=50K'
33,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,' <=50K'
44,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,' >50K'
43,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
30,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,' <=50K'
40,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
37,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,' >50K'
34,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
41,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
53,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,50,' <=50K'
31,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50,' <=50K'
58,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,' >50K'
38,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,28,' <=50K'
24,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
41,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
47,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' <=50K'
41,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,' <=50K'
23,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,' <=50K'
36,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
40,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14084,0,55,' >50K'
35,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7298,0,40,' >50K'
24,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
26,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1876,40,' <=50K'
19,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
51,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' >50K'
42,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1340,40,' <=50K'
37,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,35,' <=50K'
18,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
36,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7298,0,36,' >50K'
35,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,60,' <=50K'
58,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15024,0,35,' >50K'
17,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,' <=50K'
44,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
37,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
35,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
60,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
54,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
37,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,' >50K'
50,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
38,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
45,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,' <=50K'
25,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
31,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
64,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
90,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2206,40,' <=50K'
54,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,' <=50K'
53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,35,' <=50K'
18,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
60,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,10,' <=50K'
66,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1409,0,50,' <=50K'
75,11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,20,' <=50K'
65,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
35,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3674,0,40,' <=50K'
41,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,38,' <=50K'
25,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,' <=50K'
33,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,40,' <=50K'
28,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,' >50K'
59,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
40,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38,' <=50K'
41,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' >50K'
38,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,' >50K'
23,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
40,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
41,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,' <=50K'
24,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,' <=50K'
20,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,' <=50K'
38,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1741,40,' <=50K'
56,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,' <=50K'
58,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' >50K'
32,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34,' <=50K'
40,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1977,60,' >50K'
45,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
41,15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' >50K'
42,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' <=50K'
59,6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,30,' <=50K'
19,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
58,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,' <=50K'
42,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
20,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
32,9,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,30,' <=50K'
45,11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,45,' <=50K'
50,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40,' <=50K'
36,13,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
45,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' <=50K'
17,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,' <=50K'
59,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4064,0,40,' <=50K'
26,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
37,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75,' >50K'
19,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,' <=50K'
64,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
33,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,45,' <=50K'
33,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,' >50K'
61,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' >50K'
17,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1055,0,24,' <=50K'
50,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2407,0,98,' <=50K'
27,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,' <=50K'
30,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
43,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
44,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7298,0,40,' >50K'
35,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
25,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,' <=50K'
24,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7298,0,48,' >50K'
22,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,' <=50K'
42,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5178,0,40,' >50K'
34,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,45,' <=50K'
60,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,42,' <=50K'
21,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,' <=50K'
57,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15024,0,40,' >50K'
41,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,' >50K'
50,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,' <=50K'
25,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
50,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,' <=50K'
36,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,' <=50K'
31,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,40,' <=50K'
